id,name,country,latitude,longitude,owner_user_id,enrichment_status,geo_health,raw_geocode_null,deleted_at
0d54fe36-97a6-483b-9ccd-f0e1747a136b,Bodega Artesanal de Bastia del Valle,Francia,42.817943,9.525423,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
c88f8317-ad4d-4062-9e99-938dcb0d21be,Bodega Artesanal de Coimbra (Norte),Portugal,40.176521,-8.469101,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
adff7443-842c-4cb4-96e8-8ab270163eaa,Bodega Artesanal de Grenoble,Francia,45.161712,5.647656,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
a13ffbd8-9f46-41a2-91e8-c7007d19a880,Bodega Artesanal de Ponta Delgada (Sur),Portugal,37.653547,-25.564472,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
f40c31ff-06da-4238-83db-a9b4be7525a4,Bodega Artesanal de Ponta Delgada Nuevo,Portugal,37.672084,-25.737867,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
ef0d8070-6fca-4dfc-a909-38c07b638726,Bodega Artesanal de Rennes Bajo,Francia,48.061749,-1.598998,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
18fdb892-ea10-4578-9ad3-bd127051725e,Café Histórico de Aveiro (Norte),Portugal,40.543648,-8.527498,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
fce87116-53ca-47ef-b1e5-ecaa5dbd3e4e,Café Histórico de Consuegra (Norte),España,39.836413,-3.61098,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
bd98e30d-5830-471c-b6cb-f5eccd289ed2,Café Histórico de Niza (Norte),Francia,43.694028,7.360571,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
2aa22ad3-1e58-4e47-8d9c-fc77d9ef2bb0,Café Histórico de Rennes (Norte),Francia,48.12741,-1.755666,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
172728a5-a5a0-47be-85fa-28b8f46ae69f,Café Histórico de Rennes (Sur),Francia,48.206776,-1.621199,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
2e23062b-bff0-4706-8283-f61539eb97b8,Café Histórico de Santander Nuevo,España,43.370137,-3.782949,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
a61e18c2-a896-4389-9fc4-b8634d74ed90,Cascada Oculta A Coruña,España,43.362776,-8.441932,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
73e40cb6-f871-40b3-b850-e9b98c0a7561,Cascada Oculta Barcelona de la Sierra,España,41.405146,2.094323,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
f4170ae4-6f6a-4617-82a5-08c8eddbfe61,Cascada Oculta Bilbao del Valle,España,43.257764,-2.945805,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
e1f29b58-8356-45f4-bdec-de3166d42284,Cascada Oculta Cádiz Antiguo,España,36.524741,-6.354278,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
003cdeeb-eff0-4ac3-b1c2-2b5980fbbdfb,Cascada Oculta Estrasburgo (Norte),Francia,48.636246,7.795382,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
2c604578-7934-43ea-bdaa-7e3fd121c647,Cascada Oculta Faro,Portugal,36.910269,-7.95988,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
1cbe6901-d502-4770-8493-a28e0ad29319,Cascada Oculta Granada,España,37.258582,-3.636858,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
6ec9f468-0db7-4358-9034-cd871f3884be,Cascada Oculta Madrid de la Sierra,España,40.524518,-3.744068,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
71113d98-10b1-4670-a5a9-23bdf70d87f6,Cascada Oculta Marsella,Francia,43.214328,5.414453,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
cac78dc2-dd95-4942-a91e-a0a75bf3d9e3,Cascada Oculta Murcia,España,38.039281,-1.217754,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
3c8b56ad-25b6-4580-96de-b7dd748ed849,Cascada Oculta Sevilla,España,37.293315,-6.096442,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
8cd7b1e1-eaeb-40a3-a897-07ddd36000dd,Casco Antiguo de Cáceres,España,39.556242,-6.480782,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
7b626d87-a1f7-46d8-aed0-695db5713bb7,Casco Antiguo de Cáceres Alto,España,39.354561,-6.433792,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
70f14a7e-d8d2-4482-b580-e50ab16a64c6,Casco Antiguo de Coimbra,Portugal,40.318904,-8.415711,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
0d97fe48-b84b-41a5-9a21-c88da057b847,Casco Antiguo de Consuegra del Valle,España,39.775297,-3.492837,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
f84fa53b-97ea-4d54-aebf-de412536720e,Casco Antiguo de Leiria de la Sierra,Portugal,39.758064,-8.697069,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
2719e6b9-e6b5-4ae2-bc96-c2cfa74811aa,Casco Antiguo de Lisboa Nuevo,Portugal,38.706696,-9.027888,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
66e3add3-562f-4033-bd0e-f2cc4c50339c,Casco Antiguo de Londres (Sur),Reino Unido,51.563191,-0.116626,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
b99735ed-9c4e-4382-9525-6c327237af87,Casco Antiguo de Rennes (Sur),Francia,48.124364,-1.613758,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
8a1da658-28d7-449e-8abf-143e4243bc53,Casco Antiguo de Sevilla Antiguo,España,37.374477,-5.86595,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
bcfe1256-d856-4687-81a1-eb0d02cced22,Castillo de Beja de la Sierra,Portugal,37.942459,-7.836471,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
fdb07522-6ed6-44bc-918b-f517b49ad5cd,Castillo de Beja del Valle,Portugal,38.026578,-7.978413,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
5626ab6c-fbfa-4dad-9ae0-4b52da362fbb,Castillo de Estrasburgo Nuevo,Francia,48.57766,7.754385,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
d3587fb9-5847-4872-9a7b-0d402e5297fc,Castillo de Évora Nuevo,Portugal,38.562607,-7.826875,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
c1314522-63bf-44c6-b50b-63a30832645e,Castillo de Faro Bajo,Portugal,36.984906,-7.981136,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
eb5ea618-6bd9-401d-a9cd-329e1e7ac8df,Castillo de Murcia (Sur),España,37.987167,-1.229647,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
be2b35f4-f809-48ef-be48-bcf8c2eb55df,Castillo de Tenerife de la Sierra,España,28.461345,-16.286405,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
fff3f802-4ade-4611-9c4c-edbff3b4e93e,Castillo de Toledo (Sur),España,39.905288,-4.017565,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
0c56e1c9-b6ca-486c-b0c5-faa3c7657d8d,Catedral de A Coruña,España,43.262205,-8.507388,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
cabc2b9a-e6ca-4181-98ba-23484d51a447,Catedral de Albacete Antiguo,España,39.059799,-1.763876,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
e8308b1b-aafb-41ff-88df-242b1b6e9744,Catedral de Bastia Antiguo,Francia,42.709725,9.568446,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
d3a6a2b4-1d16-4649-9462-48d2ee78f852,Catedral de Beja Bajo,Portugal,38.121631,-7.940076,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
b3cf9399-6fd1-4975-bbae-7f144400e3d7,Catedral de Rennes Nuevo,Francia,48.129234,-1.770629,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
1bdb4c0b-8ff0-41b9-9943-efa457bfb3eb,Cueva de Consuegra Nuevo,España,39.677513,-3.497704,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
d2d0faf5-6c78-4fb9-adf2-755361c42a05,Cueva de Madrid Bajo,España,40.33612,-3.595076,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
0ec1cf3d-90e0-4e7c-be5d-74eb8e4f2726,Cueva de Vigo Antiguo,España,42.14753,-8.641794,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
93d4853f-a7b1-4ab8-ba5b-6d5a64256d09,Cueva de Vigo del Valle,España,42.271208,-8.721625,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
44b7896d-b497-4a78-844b-5832622e0748,Cueva de Zaragoza del Valle,España,41.682961,-0.901106,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
63036654-062d-4824-b8a7-81ff38704d8b,Faro de Atenas,Grecia,38.020071,23.79157,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
d44956ff-29d7-412d-8416-f52fea1a0ceb,Faro de Burdeos del Valle,Francia,44.870907,-0.686602,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
411a13ca-2a03-4b10-84ce-aca54ee691f2,Faro de Madrid (Sur),España,40.463743,-3.627694,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
f5ef13b3-afa5-4387-8663-7f5fb53e4da4,Faro de Marrakech de la Sierra,Marruecos,31.698093,-8.024604,ec870c6b-fe8f-41c3-8682-a70bd67cf128,enriched,hardError,t,
