id,name,country,latitude,longitude
deb13046-e73e-4e58-a418-700c99317c23,Bodega Artesanal de Bastia,Francia,42.607641,9.384827
25f471b4-61ef-4ca0-b3cd-9a364358e5e9,Bodega Artesanal de Braga (Sur),Portugal,41.506135,-8.427866
5fc75d47-ed31-40b9-bda3-e09a72699a9d,Bodega Artesanal de Braga (Sur) #2,Portugal,41.494884,-8.449292
b5af2a0a-c794-4fc5-92c9-efbb4845e820,Bodega Artesanal de Nueva York (Norte),Estados Unidos,40.61764,-73.91021
3c958f44-669f-4dcf-9bf8-cb810907d4bd,Bodega Artesanal de Viana do Castelo Bajo,Portugal,41.624549,-8.851632
6c37e2e9-5d7e-45b9-a23b-c61a7f9535db,Bodega Artesanal de Viana do Castelo de la Sierra,Portugal,41.604739,-8.732889
8490d2d0-9ed3-4e89-a8cd-2c291791d69b,Café Histórico de Bilbao del Valle,España,43.153039,-2.967484
26bac137-8a78-4f6a-bcde-be36aa0ae1a4,Café Histórico de Marrakech,Marruecos,31.575375,-7.965277
b1bf0f2b-1e93-43be-86a3-3008d5731ab6,Café Histórico de Ponta Delgada,Portugal,37.63463,-25.712735
09a5a2ee-9a43-4fec-91bc-ab77603f3058,Café Histórico de Porto del Valle,Portugal,41.228995,-8.613276
e99a4dd1-260e-4a68-b692-fdc43f433db7,Café Histórico de Santander Nuevo,España,43.370302,-3.919017
6b19de97-dcb9-48e1-8a45-4c2eccf022d2,Café Histórico de Valencia (Norte),España,39.448565,-0.288979
fa3c9dd9-90c5-4b44-bdd1-f290aee976d0,Cascada Oculta Alicante (Norte),España,38.244427,-0.556402
d5d55f07-1a55-4e3b-be45-27b993790154,Cascada Oculta Nueva York,Estados Unidos,40.614802,-74.075095
8bc64de3-e66f-4587-ad3e-2db2ae4a686f,Cascada Oculta Sevilla Alto,España,37.306668,-6.006456
38a8e45b-1641-42cc-83a9-53364c67d000,Casco Antiguo de Aviñón (Sur),Francia,44.063021,4.865375
97994320-be06-450e-94c8-2a8f058cd051,Casco Antiguo de Leiria Nuevo,Portugal,39.811473,-8.828289
f129d5c7-7907-4a86-8dbe-319e7af52efa,Casco Antiguo de Murcia (Norte),España,37.884701,-1.022239
1637941c-6431-4c5e-b41e-b80bec3079ba,Casco Antiguo de Niza,Francia,43.593766,7.331596
94a05278-c7d4-432b-a6a5-9ba40c7658a6,Casco Antiguo de Viana do Castelo Nuevo,Portugal,41.779506,-8.934117
f9b7aa48-5ef5-41eb-ad2f-fb5c8bd0f2a0,Castillo de Albacete Bajo,España,38.951786,-1.745656
16e7679f-f77a-4ad5-b3a7-bef3734ace4c,Castillo de Braga del Valle,Portugal,41.635,-8.536052
27855bd9-b374-4a47-93d2-676854ccedb1,Castillo de Llívia de la Sierra,España,42.510214,1.632523
e349ab00-444b-49a6-8290-5fa255ebb7c0,Castillo de Palma (Sur),España,39.456566,2.610871
123c0fe0-c308-4fe8-9ea8-630fff9b9c49,Castillo de Sevilla Bajo,España,37.302882,-5.87254
05bd4905-86cd-4802-b4e3-b9015917ce5f,Castillo de Toledo,España,39.947601,-4.121703
2309c116-f7e0-41a8-9b22-9297d61008e4,Castillo de Zaragoza Nuevo,España,41.579598,-0.930657
5b1fe3e4-4b8d-4017-bc59-b891d6e280ec,Catedral de Consuegra de la Sierra,España,39.624731,-3.544869
6bfda188-ddce-4f14-8b90-883bebb3f64f,Catedral de Niza,Francia,43.647451,7.255655
7da674a6-da19-486f-ac19-bbfb8a541f4e,Catedral de Santander Alto,España,43.36467,-3.691758
a8ba652c-d138-49c2-8812-3b161b846a13,Catedral de Sevilla del Valle,España,37.359079,-6.097735
8e932821-1a3d-4907-bb74-ef57daf86d4f,Cueva de Alicante Nuevo,España,38.278372,-0.453374
34288f92-2928-4089-ad65-a751a8b5b5f7,Cueva de Aveiro (Norte),Portugal,40.751606,-8.526181
b85fd50b-147e-4ca8-b4fb-659b2c8cd9e8,Cueva de Bilbao de la Sierra,España,43.274713,-2.880464
2cc8afab-6b1c-4530-a1c8-fbab3a06d002,Cueva de Cáceres (Norte),España,39.411383,-6.34871
7beae676-25cc-4b7b-bdcf-c9f7da9c2e0d,Cueva de Málaga Bajo,España,36.619631,-4.389426
b76edbd0-3492-41a6-a6f9-0378b2d8aaa7,Cueva de Nueva York de la Sierra,Estados Unidos,40.739837,-73.953374
c04bcd1b-e2bc-4f1e-8b82-65fee4d5f4ae,Cueva de Valencia (Norte),España,39.408296,-0.354971
1eda8aa6-3489-47b6-904a-f8d2934350b1,Faro de Cáceres (Norte),España,39.460726,-6.301924
045190d5-2500-4e0b-be7b-a86a88502916,Faro de Évora (Norte),Portugal,38.686082,-7.840776
294219ec-b114-4384-b968-e06c68747cf0,Faro de Llívia Nuevo,España,42.605509,1.497914
abf252e0-7914-4a7b-9d09-e1e65749c6f0,Faro de Lyon Alto,Francia,45.805752,4.781005
887369dc-e169-4c10-863b-68cc57a52460,Faro de Murcia del Valle,España,38.007004,-1.089897
e16ac9d9-c472-4f9f-b94f-7371f0a235ad,Faro de Toledo Bajo,España,39.947628,-3.918477
13b6ac67-83d9-447b-bba9-7326cb3bcd30,Jardín Botánico de Beja Nuevo,Portugal,38.061739,-7.93713
b57c37c9-b057-4992-ab61-955f4f764434,Jardín Botánico de Consuegra Antiguo,España,39.689022,-3.524766
d3adbc11-a6d4-4854-baab-22f927411f01,Jardín Botánico de Dijon Bajo,Francia,47.430994,5.071932
76c4ca61-b8bc-4545-892c-1aae0c40ae89,Jardín Botánico de Évora (Norte),Portugal,38.490257,-7.879521
0f792e64-827a-4720-9551-20fc403e9511,Jardín Botánico de Granada Bajo,España,37.130789,-3.579027
6fa5a913-326d-44f9-bdf2-4d6efa3465d6,Jardín Botánico de Málaga (Norte),España,36.833019,-4.480805
33c7f721-cebd-4e3b-bdff-a3bb9b14760c,Jardín Botánico de Málaga Antiguo,España,36.829581,-4.459384
7fcf8f21-748c-4b0f-b509-4e8164a843c1,Jardín Botánico de Murcia Alto,España,38.05416,-1.084954
abe19bf4-ee99-4f8e-8af4-5e51653e4c33,Jardín Botánico de Rennes Alto,Francia,48.164357,-1.76449
25603a76-01c9-46a8-9c6b-90464a8a845e,Jardín Botánico de Santorini (Norte),Grecia,36.44058,25.371807
a1d9bbf1-e202-4dbc-b6c6-cd7b53a3eff2,Jardín Botánico de Valencia Antiguo,España,39.4886,-0.445243
568df858-a5e8-4bdd-94f3-fe2a43d02e1a,Jardín Botánico de Valencia Nuevo,España,39.555756,-0.417147
cf16cfa4-ea6e-4dfe-9988-2c6f8677eb8f,Jardín Botánico de Viana do Castelo (Sur),Portugal,41.812101,-8.817816
c4f4e307-eb22-4709-9f67-2aca3791a85b,Jardín Botánico de Zaragoza (Norte),España,41.531837,-0.908286
34fad56f-88f0-4ad8-906d-d5758d0642e3,Mercado Central de Aveiro Nuevo,Portugal,40.590703,-8.764649
5797105e-2ded-4bb9-b0a5-a87d95d0b3b8,Mercado Central de Ávila del Valle,España,40.768058,-4.657152
5786fb0e-89ad-4a33-862c-9bec7f2cb287,Mercado Central de Burdeos (Norte),Francia,44.870588,-0.550186
bd89c994-d37f-46ca-a5f6-692c190af522,Mercado Central de Granada Alto,España,37.277493,-3.689474
4db50cf6-58f3-4781-9f8c-6190e536b1ef,Mercado Central de Lisboa (Norte),Portugal,38.780272,-9.200526
d11f44dd-0667-40a4-b87d-c5cfc35ef9bb,Mercado Central de Llívia,España,42.559759,1.641969
042128b3-d546-4696-a7fa-7d3b3e0d8a45,Mercado Central de Madrid Bajo,España,40.32365,-3.596988
28cf0c27-8739-4c5d-b2e8-e6f8638d1d19,Mercado Central de Málaga Nuevo,España,36.797354,-4.349098
40b287bf-f0f6-4309-b257-53ce875e1a67,Mercado Central de Montpellier Nuevo,Francia,43.714421,3.781561
70153a8f-0ead-45ef-98ab-17e6179398b4,Mercado Central de Oviedo (Norte),España,43.460957,-5.719748
d006c4c4-117e-4660-89f1-725b967d7c33,Mercado Central de París Bajo,Francia,48.803146,2.468367
a9ca1867-bc5d-49ec-80a3-ae6c356bc8f4,Mirador de Braga (Norte),Portugal,41.442101,-8.368667
654ecabd-0d03-4e9f-89d9-2f274bb9fbdc,Mirador de Dijon,Francia,47.419161,5.061679
b1a119cf-ef5f-4a3d-8680-545fd90290cc,Mirador de Edimburgo de la Sierra,Reino Unido,56.029309,-3.095989
