id,name,country,latitude,longitude,owner_user_id,created_at,geo_health
96fb3645-8af4-4f4d-9ed4-0595690da8ab,Jardín Botánico de Múnich Alto,Alemania,48.112758,11.686408,ec870c6b-fe8f-41c3-8682-a70bd67cf128,2026-05-14 14:09:28.244683+00,hardError
417c8935-b0db-493c-81d0-c59e023fda79,Museo Etnográfico de Berlín (Sur),Alemania,52.456705,13.320147,08e0c12c-bdab-4db8-b147-7ef8ce7c5c76,2026-05-14 14:09:28.244683+00,hardError
4e1c7955-542a-485d-9b55-ba25a50da039,Bodega Artesanal de Albacete de la Sierra,España,39.024036,-1.838012,08e0c12c-bdab-4db8-b147-7ef8ce7c5c76,2026-05-14 14:09:28.244683+00,hardError
8cc02c20-3964-47b6-8bad-804dc04ae1a3,Bodega Artesanal de Ávila,España,40.686475,-4.58532,ec870c6b-fe8f-41c3-8682-a70bd67cf128,2026-05-14 14:09:28.244683+00,hardError
43285e14-cf72-4ef8-9cb9-57f449dccb12,Bodega Artesanal de Ávila #2,España,40.743633,-4.675148,ec870c6b-fe8f-41c3-8682-a70bd67cf128,2026-05-14 14:09:28.244683+00,hardError
3715fd65-093d-420c-812b-5887b792051c,Bodega Artesanal de Barcelona (Norte),España,41.459545,2.08102,ec870c6b-fe8f-41c3-8682-a70bd67cf128,2026-05-14 14:09:28.244683+00,hardError
31869808-cdc6-4050-b270-389893b0c430,Bodega Artesanal de Madrid,España,40.445491,-3.597439,08e0c12c-bdab-4db8-b147-7ef8ce7c5c76,2026-05-14 14:09:28.244683+00,hardError
75a01dda-3c66-43de-a113-99cd7cab9bd4,Bodega Artesanal de Murcia Antiguo,España,38.055289,-1.16017,08e0c12c-bdab-4db8-b147-7ef8ce7c5c76,2026-05-14 14:09:28.244683+00,hardError
4ebd1e53-ddf4-4791-a5aa-f62e99ac99a8,Bodega Artesanal de Oviedo,España,43.626698,-5.572972,ec870c6b-fe8f-41c3-8682-a70bd67cf128,2026-05-14 14:09:28.244683+00,hardError
e7d2d01f-cd27-4f76-8705-9a89c80a5004,Bodega Artesanal de Sevilla,España,37.412629,-5.891039,08e0c12c-bdab-4db8-b147-7ef8ce7c5c76,2026-05-14 14:09:28.244683+00,hardError
d3748235-7bab-4e00-b5ad-e06a71d90ba9,Bodega Artesanal de Tenerife de la Sierra,España,28.439295,-16.196693,08e0c12c-bdab-4db8-b147-7ef8ce7c5c76,2026-05-14 14:09:28.244683+00,hardError
f85747ae-c1a8-45dd-a703-86c7f9e1b19d,Café Histórico de Bilbao (Norte),España,43.265286,-3.033182,08e0c12c-bdab-4db8-b147-7ef8ce7c5c76,2026-05-14 14:09:28.244683+00,hardError
8490d2d0-9ed3-4e89-a8cd-2c291791d69b,Café Histórico de Bilbao del Valle,España,43.153039,-2.967484,08e0c12c-bdab-4db8-b147-7ef8ce7c5c76,2026-05-14 14:09:28.244683+00,hardError
fce87116-53ca-47ef-b1e5-ecaa5dbd3e4e,Café Histórico de Consuegra (Norte),España,39.836413,-3.61098,ec870c6b-fe8f-41c3-8682-a70bd67cf128,2026-05-14 14:09:28.244683+00,hardError
2e23062b-bff0-4706-8283-f61539eb97b8,Café Histórico de Santander Nuevo,España,43.370137,-3.782949,ec870c6b-fe8f-41c3-8682-a70bd67cf128,2026-05-14 14:09:28.244683+00,hardError
e99a4dd1-260e-4a68-b692-fdc43f433db7,Café Histórico de Santander Nuevo,España,43.370302,-3.919017,08e0c12c-bdab-4db8-b147-7ef8ce7c5c76,2026-05-14 14:09:28.244683+00,hardError
6b19de97-dcb9-48e1-8a45-4c2eccf022d2,Café Histórico de Valencia (Norte),España,39.448565,-0.288979,08e0c12c-bdab-4db8-b147-7ef8ce7c5c76,2026-05-14 14:09:28.244683+00,hardError
a61e18c2-a896-4389-9fc4-b8634d74ed90,Cascada Oculta A Coruña,España,43.362776,-8.441932,ec870c6b-fe8f-41c3-8682-a70bd67cf128,2026-05-14 14:09:28.244683+00,hardError
fa3c9dd9-90c5-4b44-bdd1-f290aee976d0,Cascada Oculta Alicante (Norte),España,38.244427,-0.556402,08e0c12c-bdab-4db8-b147-7ef8ce7c5c76,2026-05-14 14:09:28.244683+00,hardError
73e40cb6-f871-40b3-b850-e9b98c0a7561,Cascada Oculta Barcelona de la Sierra,España,41.405146,2.094323,ec870c6b-fe8f-41c3-8682-a70bd67cf128,2026-05-14 14:09:28.244683+00,hardError
f4170ae4-6f6a-4617-82a5-08c8eddbfe61,Cascada Oculta Bilbao del Valle,España,43.257764,-2.945805,ec870c6b-fe8f-41c3-8682-a70bd67cf128,2026-05-14 14:09:28.244683+00,hardError
e1f29b58-8356-45f4-bdec-de3166d42284,Cascada Oculta Cádiz Antiguo,España,36.524741,-6.354278,ec870c6b-fe8f-41c3-8682-a70bd67cf128,2026-05-14 14:09:28.244683+00,hardError
1cbe6901-d502-4770-8493-a28e0ad29319,Cascada Oculta Granada,España,37.258582,-3.636858,ec870c6b-fe8f-41c3-8682-a70bd67cf128,2026-05-14 14:09:28.244683+00,hardError
6ec9f468-0db7-4358-9034-cd871f3884be,Cascada Oculta Madrid de la Sierra,España,40.524518,-3.744068,ec870c6b-fe8f-41c3-8682-a70bd67cf128,2026-05-14 14:09:28.244683+00,hardError
cac78dc2-dd95-4942-a91e-a0a75bf3d9e3,Cascada Oculta Murcia,España,38.039281,-1.217754,ec870c6b-fe8f-41c3-8682-a70bd67cf128,2026-05-14 14:09:28.244683+00,hardError
3c8b56ad-25b6-4580-96de-b7dd748ed849,Cascada Oculta Sevilla,España,37.293315,-6.096442,ec870c6b-fe8f-41c3-8682-a70bd67cf128,2026-05-14 14:09:28.244683+00,hardError
8bc64de3-e66f-4587-ad3e-2db2ae4a686f,Cascada Oculta Sevilla Alto,España,37.306668,-6.006456,08e0c12c-bdab-4db8-b147-7ef8ce7c5c76,2026-05-14 14:09:28.244683+00,hardError
